scraped_at,link,title,price,useful_area,m2_value,neighborhood,city,rooms,condo_value,iptu,total_area,suites,parking,floor,transaction_type
2023-07-28 16:47:58,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-scrn-714-715-bloco-e-782244,SCRN 714/715 Bloco E,1290.0,38.69,33.0,ASA NORTE,BRASÍLIA,1,200.0,761.0,38.69,0,0,0,rental
2023-07-28 16:47:58,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-noroeste-brasilia-df-sqnw-110-bloco-g-527253,SQNW 110 Bloco G,8900.0,132.0,67.0,NOROESTE,BRASÍLIA,4,1500.0,2944.0,214.0,2,2,0,rental
2023-07-28 16:47:58,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-asa-sul-brasilia-df-sqs-212-bloco-k-748379,SQS 212 Bloco K,9500.0,159.0,59.0,ASA SUL,BRASÍLIA,4,1652.0,2674.0,159.0,2,2,0,rental
2023-07-28 16:47:58,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-shn-quadra-1-590559,SHN Quadra 1,6900.0,38.37,179.0,ASA NORTE,BRASÍLIA,1,0.0,0.0,0.0,0,1,13,rental
2023-07-28 16:47:58,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-park-sul-brasilia-df-smas-trecho-693224,SMAS Trecho,6900.0,100.0,69.0,PARK SUL,BRASÍLIA,3,1037.0,1492.0,0.0,1,2,0,rental
2023-07-28 16:47:58,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-norte-aguas-claras-df-avenida-parque-aguas-claras-127987,Avenida Parque Águas Claras  - Residencial Portal do Parque,1700.0,54.0,31.0,NORTE,ÁGUAS CLARAS,2,470.0,800.0,0.0,0,1,2,rental
2023-07-28 16:47:58,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-ceilandia-norte-ceilandia-df-qnn-27-modulo-c-775539,QNN 27 Módulo C,3100.0,88.0,35.0,CEILANDIA NORTE,CEILÂNDIA,3,650.0,0.0,0.0,1,2,1,rental
2023-07-28 16:47:58,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-sul-aguas-claras-df-avenida-pau-brasil-574360,Avenida Pau Brasil,5999.0,118.0,50.0,SUL,ÁGUAS CLARAS,3,974.0,1364.0,118.0,0,2,0,rental
2023-07-28 16:47:58,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-sul-aguas-claras-df-quadra-205-789623,Quadra 205  - Residencial Paço Linea,1400.0,31.0,45.0,SUL,ÁGUAS CLARAS,1,414.0,0.0,31.0,1,1,4,rental
2023-07-28 16:47:58,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-216-bloco-k-154733,SQN 216 Bloco K,4200.0,92.0,45.0,ASA NORTE,BRASÍLIA,3,800.0,337.0,92.0,1,1,0,rental
2023-07-28 16:47:58,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-guara-ii-guara-df-qe-19-bloco-b-714999,QE 19 Bloco B,1200.0,48.0,25.0,GUARA II,GUARÁ,2,0.0,52.0,0.0,0,0,0,rental
2023-07-28 16:47:58,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-taguatinga-sul-taguatinga-df-csg-3-799338,CSG 3  - Tagua Life,2250.0,51.0,44.0,TAGUATINGA SUL,TAGUATINGA,1,500.0,1200.0,63.0,0,1,4,rental
2023-07-28 16:47:58,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-taguatinga-norte-taguatinga-df-sagoca-810292,SAGOCA,1430.0,50.0,28.0,TAGUATINGA NORTE,TAGUATINGA,2,0.0,0.0,0.0,0,1,0,rental
2023-07-28 16:47:58,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-jardins-mangueiral-brasilia-df-qc-12-539783,QC 12,2100.0,48.0,43.0,JARDINS MANGUEIRAL,BRASÍLIA,2,330.0,801.0,0.0,0,1,0,rental
