dt_scraping,link,title,price,useful_area,m2_value,neighborhood,city,rooms,parking,condo_value,iptu,total_area,land_area,floor,floor_properties,suites,exchange,financing
2023-07-21 21:31:36,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-jardins-mangueiral-brasilia-df-qc-6-rua-e-799398,QC 6 Rua E,1600.0,50.0,32.0,JARDINS MANGUEIRAL,BRASÍLIA,2,1,1.0,1.0,50.0,50.0,1,8,0,,
2023-07-21 21:31:36,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-noroeste-brasilia-df-sqnw-103-698443,SQNW 103,6300.0,122.0,51.0,NOROESTE,BRASÍLIA,3,2,1234.0,369.0,0.0,0.0,0,,2,,
2023-07-21 21:31:36,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-sudoeste-brasilia-df-qrsw-3-bloco-a-7-287752,QRSW 3 Bloco A 7,2000.0,60.0,33.0,SUDOESTE,BRASÍLIA,1,0,520.0,105.0,0.0,0.0,0,,0,,
2023-07-21 21:31:36,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-noroeste-brasilia-df-sqnw-107-645551,SQNW 107,7300.0,92.0,79.0,NOROESTE,BRASÍLIA,3,2,889.0,0.0,0.0,0.0,0,,1,,
2023-07-21 21:31:37,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-sul-aguas-claras-df-avenida-parque-aguas-claras-788552,Avenida Parque Águas Claras,2250.0,74.0,30.0,SUL,ÁGUAS CLARAS,3,1,450.0,0.0,0.0,0.0,0,,1,,
2023-07-21 21:31:37,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-108-bloco-e-801908,SQN 108 Bloco E,8390.0,124.0,67.0,ASA NORTE,BRASÍLIA,3,1,0.0,0.0,124.0,0.0,0,,1,Sim,
2023-07-21 21:31:37,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-park-sul-brasilia-df-sgcv-726012,SGCV,7200.0,70.0,102.0,PARK SUL,BRASÍLIA,2,1,1200.0,0.0,0.0,0.0,8,,2,,
2023-07-21 21:31:37,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-norte-aguas-claras-df-copaiba-1-793998,COPAIBA 1,2500.0,44.0,56.0,NORTE,ÁGUAS CLARAS,1,1,0.0,0.0,44.0,0.0,9,9,1,,
2023-07-21 21:31:37,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-norte-aguas-claras-df-rua-5-755002,Rua 5  - Edíficio Modern Life,1950.0,40.0,48.0,NORTE,ÁGUAS CLARAS,1,1,341.0,0.0,0.0,0.0,13,,0,,
2023-07-21 21:31:37,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-sul-brasilia-df-sqs-302-bloco-e-690043,SQS 302 Bloco E,6000.0,112.0,53.0,ASA SUL,BRASÍLIA,2,1,1100.0,0.0,0.0,0.0,4,2,2,,
