scraped_at,link,title,useful_area,m2_value,neighborhood,city,rooms,suites,parking,total_area,floor,condo_value,iptu,price,transaction_type
2023-07-28 16:49:07,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-residencial-santos-dumont-santa-maria-df-qbr-4-bloco-k-800900,QBR 4 Bloco K,102.0,4313.0,RESIDENCIAL SANTOS DUMONT,SANTA MARIA,3,1,2,102.0,0,0.0,0.0,440000.0,sale
2023-07-28 16:49:08,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-norte-aguas-claras-df-quadra-105-452863,Quadra 105  - Nature Elmo,118.63,10667.0,NORTE,ÁGUAS CLARAS,3,3,2,0.0,1,0.0,0.0,1265528.0,sale
2023-07-28 16:49:08,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-guara-ii-guara-df-area-especial-4-807253,Área Especial 4,63.0,10634.0,GUARA II,GUARÁ,2,1,1,0.0,0,600.0,530.0,670000.0,sale
2023-07-28 16:49:08,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-sul-brasilia-df-sqs-109-bloco-e-665039,SQS 109 Bloco E,159.0,10566.0,ASA SUL,BRASÍLIA,4,1,1,159.0,0,1003.0,2644.0,1680000.0,sale
2023-07-28 16:49:08,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-venda-asa-sul-brasilia-df-sqs-107-bloco-e-778986,SQS 107 Bloco E,136.0,9411.0,ASA SUL,BRASÍLIA,3,1,0,136.0,0,1100.0,0.0,1280000.0,sale
2023-07-28 16:49:08,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-sul-aguas-claras-df-quadra-205-809731,Quadra 205,34.0,8500.0,SUL,ÁGUAS CLARAS,1,1,1,34.0,0,396.0,127.0,289000.0,sale
2023-07-28 16:49:08,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-asa-sul-brasilia-df-sqs-105-797230,SQS 105,165.0,13939.0,ASA SUL,BRASÍLIA,4,1,1,165.0,0,1760.0,3108.0,2300000.0,sale
2023-07-28 16:49:08,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-areal-aguas-claras-df-qs-5-rua-100-802704,QS 5 Rua 100,42.0,6785.0,AREAL,ÁGUAS CLARAS,2,0,1,0.0,8,460.0,0.0,285000.0,sale
2023-07-28 16:49:08,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-noroeste-brasilia-df-sqnw-307-801812,SQNW 307,49.0,15918.0,NOROESTE,BRASÍLIA,1,1,2,0.0,6,766.0,340.0,780000.0,sale
2023-07-28 16:49:08,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-asa-sul-brasilia-df-sqs-103-bloco-d-800968,SQS 103 Bloco D,52.86,13223.0,ASA SUL,BRASÍLIA,2,1,0,68.9,2,472.0,212.0,699000.0,sale
2023-07-28 16:49:08,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-venda-novo-cruzeiro-df-shces-quadra-1311-806567,SHCES Quadra 1311,53.0,10094.0,NOVO,CRUZEIRO,1,0,0,53.0,0,450.0,127.0,535000.0,sale
2023-07-28 16:49:08,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-venda-novo-cruzeiro-df-shces-quadra-109-784992,SHCES Quadra 109,55.0,8709.0,NOVO,CRUZEIRO,2,1,0,55.0,0,340.0,0.0,479000.0,sale
